# image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,LightNoise,LightNoise_light_param,GradientLightNoise,GradientLightNoise_light_param,CircularLightNoise,CircularLightNoise_light_param,CircularLightNoise_r_circle,CircularLightNoise_kernel_sigma,SPNoise,SPNoise_amount_sp,SPNoise_bw,SPNoise_pepper_color,SPNoise_salt_color,NegativeNoise,BlurNoise,BlurNoise_blur_sigma,BlurNoise_blur_kernel_size,pitch,yaw,roll,scale,label
0.00000,0.00000,0.42972,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.57028,0.65261,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.39532,0.00000,0.00000,0.63616,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.16799,0.73918,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.75906,0.77323,0.04253,0.66620,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,1.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.53247,1.00000
0.00000,0.65159,0.00000,0.00000,0.00000,0.00000,0.65159,0.00000,1.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,1.00000,0.00000,-0.60000,-0.23070,0.30593,0.86874,0.04644,0.69080,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.03875,0.03875,0.48007,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,1.00000,0.61123,0.00000,0.19480,0.29154,0.84439,0.00000,-0.60000,-0.23070,0.08988,0.11235,0.00000,0.80526,1.00000
0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.10971,0.53971,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.10971,0.00000,-0.60000,-0.23070,0.38576,0.00000,0.00000,0.58213,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.11344,0.00000,0.00000,0.15852,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.50187,0.75074,0.00000,0.94039,1.00000
0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.29486,0.24975,0.00000,0.94298,1.00000
0.00000,0.68088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,1.00000,0.80822,0.87233,0.43582,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.28733,0.22479,0.16307,0.44915,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,1.00000,0.50938,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.17917,0.00000,0.34181,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,1.00000,0.00000,-0.60000,-0.23070,0.00000,0.17551,0.00000,0.27871,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.23707,0.00000,0.10079,0.81852,1.00000
0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.07558,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00588,0.53353,1.00000
0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.60566,0.31648,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.28037,0.00000,0.42626,0.95287,1.00000
0.00000,0.00000,0.94187,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.10464,0.00000,0.76860,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.40888,0.29082,0.37599,0.09680,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,1.00000,0.46848,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.17231,0.09005,0.21382,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76399,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.56127,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.19569,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.24500,-0.45300,-0.13650,0.15100,0.00000,0.54688,0.75378,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.44701,-0.33179,-0.05882,0.00000,0.15811,0.18431,0.45430,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.03757,0.00694,0.00000,0.32057,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.13817,1.00000
0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.53599,0.00000,0.35175,0.96219,1.00000
0.00000,0.37771,0.00000,0.00000,0.00000,0.00000,0.37771,0.00000,0.00000,0.00000,1.00000,0.86432,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.15906,0.00000,0.15213,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.02448,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.43439,0.08216,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.17076,1.00000
0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.09515,0.00000,0.06244,0.89212,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.64181,0.22876,0.33089,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.80977,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.18093,0.63292,0.00000,0.84424,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.62367,1.00000,0.92473,0.00000,0.16306,0.13378,0.08362,0.54334,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.69084,0.69084,0.24805,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,0.00000,0.00000,-0.60000,-0.23070,0.00000,0.00000,0.00000,0.91598,1.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,0.00000,0.50000,-0.93750,0.00000,0.00000,-0.60000,0.00000,0.00000,-1.00000,1.00000,0.00000,-0.60000,-0.23070,0.08814,0.18953,0.00000,0.30643,1.00000
